vendorid2,paymenttype1,paymenttype2,pulocationid237,pulocationid161,pulocationid236,pulocationid186,pulocationid162,dolocationid161,dolocationid236,dolocationid237,dolocationid230,dolocationid170,passengercount,tripdistance,fareamount,extra,mtatax,tipamount,tollsamount,improvementsurcharge,totalamount,tpeppickupdatetimehour0,tpeppickupdatetimehour1,tpeppickupdatetimehour2,tpepdropoffdatetimehour0,tpepdropoffdatetimehour1,tpepdropoffdatetimehour2,duration
1,0,1,0,0,0,0,0,0,0,0,0,0,1,2.62,10.0,0.5,0.5,0.0,0.0,0.3,11.3,1,0,0,1,0,0,600.0
1,1,0,0,0,1,0,0,0,1,0,0,0,1,0.67,4.5,0.0,0.5,1.06,0.0,0.3,6.36,0,1,0,0,1,0,249.0
0,1,0,0,0,0,0,0,0,0,0,0,0,2,1.1,6.0,0.5,0.5,1.45,0.0,0.3,8.75,0,0,1,0,0,1,324.0
1,0,1,0,0,1,0,0,0,0,0,0,0,2,2.14,11.5,0.0,0.5,0.0,0.0,0.3,12.3,0,1,0,0,1,0,901.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.4,6.5,0.0,0.5,1.45,0.0,0.3,8.75,1,0,0,1,0,0,403.0
0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0,5.5,0.5,0.5,0.0,0.0,0.3,6.8,0,0,1,0,0,1,294.0
1,0,1,0,0,0,0,0,0,1,0,0,0,1,1.84,7.5,0.5,0.5,0.0,0.0,0.3,8.8,0,0,1,0,0,1,415.0
1,1,0,1,0,0,0,0,0,0,1,0,0,1,0.55,4.0,0.0,0.5,1.2,0.0,0.3,6.0,0,1,0,0,1,0,180.0
0,0,1,0,0,0,0,0,0,0,0,0,1,1,0.3,3.5,0.5,0.5,0.0,0.0,0.3,4.8,1,0,0,1,0,0,120.0
1,1,0,0,0,0,0,0,0,0,0,0,0,1,1.39,8.0,0.0,0.5,2.2,0.0,0.3,11.0,0,1,0,0,1,0,520.0
0,0,0,0,0,0,0,0,1,0,0,0,0,1,1.5,11.0,0.0,0.5,0.0,0.0,0.3,11.8,0,1,0,0,1,0,960.0
0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.1,6.0,0.0,0.5,0.0,0.0,0.3,6.8,1,0,0,1,0,0,360.0
0,1,0,0,0,1,0,0,0,0,0,0,0,1,0.5,4.5,0.0,0.5,1.05,0.0,0.3,6.35,0,1,0,0,1,0,260.0
1,1,0,0,0,0,0,0,0,0,0,0,1,1,1.57,12.5,0.0,0.5,2.66,0.0,0.3,15.96,0,1,0,0,1,0,1114.0
1,1,0,0,0,0,0,0,0,0,0,0,0,2,1.03,5.0,0.5,0.5,1.26,0.0,0.3,7.56,0,0,1,0,0,1,149.0
1,0,1,0,0,0,0,0,0,0,0,0,0,2,0.65,5.0,0.5,0.5,0.0,0.0,0.3,6.3,0,0,1,0,0,1,240.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,2.8,20.5,0.0,0.5,3.2,0.0,0.3,24.5,0,1,0,0,1,0,2023.0
1,1,0,0,0,0,0,0,0,0,0,0,0,2,6.14,24.5,0.5,0.5,0.0,0.0,0.3,25.8,0,0,0,1,0,0,1800.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.5,12.5,0.0,0.5,3.95,0.0,0.3,17.25,0,1,0,0,1,0,1079.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,2.6,11.0,0.5,0.5,3.0,0.0,0.3,15.3,0,0,1,0,0,1,707.0
0,1,0,0,0,1,0,0,0,0,0,0,0,1,3.1,15.0,0.0,0.5,1.0,0.0,0.3,16.8,0,1,0,0,1,0,1151.0
0,1,0,0,0,0,0,0,0,0,1,0,0,1,2.1,12.0,0.5,0.5,2.65,0.0,0.3,15.95,0,0,1,0,0,1,1020.0
1,0,1,0,0,0,0,0,0,0,0,0,0,2,1.97,12.0,0.0,0.5,0.0,0.0,0.3,12.8,0,1,0,0,1,0,995.0
1,1,0,0,0,0,0,0,0,0,0,0,0,1,4.67,17.0,0.0,0.5,3.56,0.0,0.3,21.36,1,0,0,1,0,0,900.0
1,1,0,0,0,0,0,0,0,0,0,0,0,1,4.31,17.5,0.5,0.5,3.76,0.0,0.3,22.56,0,0,1,0,0,1,1341.0
1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.84,6.5,1.0,0.5,0.0,0.0,0.3,8.3,0,0,1,0,0,1,420.0
