vendorid2,paymenttype1,paymenttype2,pulocationid237,pulocationid161,pulocationid236,pulocationid186,pulocationid162,dolocationid161,dolocationid236,dolocationid237,dolocationid230,dolocationid170,tpeppickupdatetimehour0,tpeppickupdatetimehour1,tpeppickupdatetimehour2,tpepdropoffdatetimehour0,tpepdropoffdatetimehour1,tpepdropoffdatetimehour2,passengercount,tripdistance,fareamount,tipamount,totalamount,duration
1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.16666666666666666,0.15584415584415584,0.20754716981132074,0.0,0.23578811369509042,300.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.6666666666666666,0.3084415584415584,0.3962264150943396,0.0,0.3649870801033592,840.0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.6666666666666666,0.15746753246753245,0.24528301886792453,0.0,0.251937984496124,360.0
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.3333333333333333,0.1542207792207792,0.18867924528301885,0.16420361247947454,0.23578811369509042,213.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.6666666666666666,0.16558441558441558,0.22641509433962265,0.23973727422003283,0.2829457364341085,285.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.16666666666666666,0.12662337662337664,0.18867924528301885,0.16420361247947454,0.2196382428940568,300.0
1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1.0,0.1883116883116883,0.2641509433962264,0.32019704433497537,0.314922480620155,480.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.5,0.698051948051948,0.660377358490566,0.3645320197044335,0.6789405684754521,1273.0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0.16666666666666666,0.3084415584415584,0.3584905660377358,0.41871921182266003,0.41505167958656325,674.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.16666666666666666,0.3246753246753247,0.3018867924528302,0.0,0.3003875968992248,420.0
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0.3333333333333333,0.16558441558441558,0.32075471698113206,0.3054187192118227,0.36046511627906974,737.0
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.5,0.8295454545454546,0.6226415094339622,0.876847290640394,0.7474160206718345,972.0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.16666666666666666,0.15584415584415584,0.24528301886792453,0.0,0.23578811369509042,458.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.16666666666666666,0.3084415584415584,0.3018867924528302,0.3054187192118227,0.36046511627906974,444.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.16666666666666666,0.25974025974025977,0.3018867924528302,0.16420361247947454,0.31653746770025837,534.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.16666666666666666,0.06493506493506494,0.16981132075471697,0.0,0.17118863049095606,180.0
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.16666666666666666,0.1461038961038961,0.18867924528301885,0.16420361247947454,0.2196382428940568,231.0
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.16666666666666666,0.8051948051948051,0.6415094339622641,0.6009852216748769,0.7093023255813953,1036.0
